Straight Party Ticket (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,
,,Democratic Party,,,Republican Party,,,Libertarian Party,,,U.S. Taxpayers Party,,,Working Class Party,,,Green Party,,,Natural Law Party,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Waterford Township, Precinct 11",2971,399,152,551,260,270,530,3,10,13,2,2,4,1,0,1,3,1,4,0,1,1,1104
"Waterford Township, Precinct 12",3016,418,125,543,377,270,647,0,3,3,3,1,4,1,5,6,3,3,6,0,0,0,1209
"Waterford Township, Precinct 13",3111,411,121,532,264,375,639,2,4,6,0,2,2,4,8,12,0,0,0,1,2,3,1194
"Waterford Township, Precinct 14",3024,421,171,592,240,261,501,5,3,8,1,3,4,3,6,9,3,1,4,0,0,0,1118
"Waterford Township, Precinct 15",3128,511,195,706,234,268,502,4,7,11,1,4,5,2,5,7,3,2,5,0,1,1,1237
"Waterford Township, Precinct 16",3312,392,113,505,410,427,837,4,7,11,0,0,0,1,4,5,0,2,2,2,0,2,1362
"Waterford Township, Precinct 17",3039,433,121,554,351,317,668,6,10,16,1,0,1,0,5,5,1,2,3,0,0,0,1247
"Waterford Township, Precinct 18",2479,372,95,467,281,288,569,0,4,4,0,0,0,3,2,5,1,0,1,0,0,0,1046
"Waterford Township, Precinct 19",2814,442,95,537,301,313,614,5,3,8,3,1,4,1,1,2,2,2,4,1,0,1,1170
"Waterford Township, Precinct 20",3195,450,163,613,336,398,734,3,5,8,0,0,0,4,2,6,1,5,6,0,0,0,1367
"Waterford Township, Precinct 21",3092,384,122,506,291,317,608,4,6,10,1,5,6,2,2,4,0,2,2,1,0,1,1137
"West Bloomfield Township, Precinct 1",2393,585,109,694,265,155,420,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1116
"West Bloomfield Township, Precinct 2",2518,415,73,488,350,307,657,3,1,4,0,0,0,4,1,5,2,1,3,0,0,0,1157
"West Bloomfield Township, Precinct 3",1159,234,79,313,116,145,261,2,2,4,0,1,1,0,1,1,0,0,0,0,0,0,580
"West Bloomfield Township, Precinct 4",2527,521,73,594,340,175,515,5,3,8,0,0,0,1,0,1,0,2,2,0,0,0,1120
"West Bloomfield Township, Precinct 5",2420,534,113,647,297,278,575,2,1,3,0,1,1,0,1,1,0,0,0,0,0,0,1227
"West Bloomfield Township, Precinct 6",2144,572,94,666,273,188,461,2,0,2,1,1,2,0,0,0,1,3,4,0,0,0,1135
"West Bloomfield Township, Precinct 7",1707,429,72,501,153,117,270,1,0,1,0,0,0,1,0,1,1,3,4,0,0,0,777
"West Bloomfield Township, Precinct 8",2548,497,64,561,321,220,541,1,2,3,0,0,0,0,1,1,2,0,2,0,0,0,1108
"West Bloomfield Township, Precinct 9",1874,494,87,581,180,97,277,0,3,3,0,0,0,0,1,1,1,1,2,0,0,0,864
"West Bloomfield Township, Precinct 10",2668,668,66,734,305,175,480,2,1,3,0,0,0,0,1,1,2,0,2,0,0,0,1220
"West Bloomfield Township, Precinct 11",2360,627,120,747,224,144,368,1,3,4,1,1,2,0,1,1,3,0,3,1,0,1,1126
"West Bloomfield Township, Precinct 12",2609,882,104,986,222,134,356,1,1,2,0,1,1,0,0,0,0,1,1,0,0,0,1346
"West Bloomfield Township, Precinct 13",2165,547,63,610,174,163,337,3,0,3,0,1,1,1,0,1,1,0,1,1,0,1,954
"West Bloomfield Township, Precinct 14",1914,312,64,376,256,234,490,3,4,7,0,0,0,0,3,3,0,0,0,0,0,0,876
"West Bloomfield Township, Precinct 15",2896,794,106,900,309,196,505,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,1411
"West Bloomfield Township, Precinct 16",2553,569,73,642,379,146,525,1,0,1,2,0,2,0,1,1,1,1,2,0,1,1,1174
"West Bloomfield Township, Precinct 17",2414,631,82,713,273,133,406,1,0,1,0,0,0,0,0,0,2,0,2,2,0,2,1124
"West Bloomfield Township, Precinct 18",1900,420,72,492,252,200,452,4,1,5,0,1,1,0,0,0,0,1,1,0,0,0,951
"West Bloomfield Township, Precinct 19",2093,727,93,820,202,124,326,3,1,4,1,0,1,2,0,2,1,0,1,0,1,1,1155
"West Bloomfield Township, Precinct 20",1529,362,65,427,139,152,291,2,2,4,0,0,0,0,0,0,1,1,2,0,1,1,725
"West Bloomfield Township, Precinct 21",2018,506,110,616,237,143,380,1,2,3,0,0,0,1,1,2,0,1,1,0,0,0,1002
"West Bloomfield Township, Precinct 22",2811,736,86,822,390,197,587,1,1,2,0,0,0,0,3,3,1,0,1,0,0,0,1415
"West Bloomfield Township, Precinct 23",3059,750,127,877,399,333,732,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1614
"West Bloomfield Township, Precinct 24",2063,438,78,516,327,288,615,2,1,3,0,0,0,0,1,1,0,2,2,0,0,0,1137
"West Bloomfield Township, Precinct 25",2284,477,81,558,259,208,467,3,2,5,0,0,0,1,0,1,0,0,0,0,0,0,1031
"White Lake Township, Precinct 1",2466,314,87,401,328,316,644,2,0,2,2,0,2,1,1,2,1,0,1,0,1,1,1053
"White Lake Township, Precinct 2",2422,224,68,292,306,349,655,2,2,4,0,3,3,0,6,6,2,1,3,0,2,2,965
"White Lake Township, Precinct 3",1476,167,21,188,185,192,377,2,1,3,0,0,0,0,2,2,0,1,1,1,0,1,572
"White Lake Township, Precinct 4",1130,93,23,116,198,155,353,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,472
"White Lake Township, Precinct 5",2356,274,73,347,332,298,630,3,2,5,0,0,0,0,2,2,0,2,2,0,0,0,986
"White Lake Township, Precinct 6",3028,305,101,406,391,371,762,1,4,5,0,0,0,3,2,5,3,3,6,0,0,0,1184
"White Lake Township, Precinct 7",1897,230,39,269,252,261,513,3,2,5,0,0,0,0,0,0,1,2,3,1,0,1,791
"White Lake Township, Precinct 8",2864,297,89,386,292,394,686,6,3,9,0,1,1,3,3,6,0,1,1,1,0,1,1090
"White Lake Township, Precinct 9",2228,229,98,327,252,266,518,1,7,8,0,0,0,0,2,2,2,1,3,1,0,1,859
"White Lake Township, Precinct 10",2672,241,85,326,285,293,578,2,3,5,0,3,3,1,8,9,2,2,4,0,0,0,925
"White Lake Township, Precinct 11",2497,272,67,339,340,330,670,5,4,9,1,1,2,1,4,5,1,2,3,0,1,1,1029
"White Lake Township, Precinct 12",1476,199,52,251,192,184,376,0,2,2,1,1,2,1,1,2,0,0,0,0,0,0,633
"Auburn Hills, Precinct 1",1270,200,64,264,111,141,252,4,1,5,1,0,1,0,0,0,1,2,3,0,0,0,525
"Auburn Hills, Precinct 2",1587,361,134,495,98,108,206,2,2,4,1,0,1,0,2,2,0,0,0,0,1,1,709
"Auburn Hills, Precinct 3",2187,340,145,485,145,210,355,6,8,14,0,1,1,0,4,4,3,2,5,0,2,2,866
